Target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
RRP8	ENST00000254605.6	ribosomal RNA processing 8, methyltransferase, homolog (yeast) 	423	0	0	0	0	2	0	0	2	0	hsa-miR-199a-3p	0.0038	0.0273	0.1750	-0.17	-0.24	< 0.1	NULL
PTPRC	ENST00000367376.2	protein tyrosine phosphatase, receptor type, C 	5	0	0	0	0	1	0	1	0	0	hsa-miR-199a-3p	0.0131	0.0915	0.4813	-0.17	-0.17	< 0.1	NULL
C3orf58	ENST00000441925.2	chromosome 3 open reading frame 58 	118	0	0	0	0	1	0	1	0	0	hsa-miR-199a-3p	0.0081	0.0572	0.3095	-0.17	-0.17	< 0.1	NULL
POLR3G	ENST00000504930.1	polymerase (RNA) III (DNA directed) polypeptide G (32kD) 	67	0	0	0	0	1	0	1	0	0	hsa-miR-199a-3p	0.0132	0.0903	0.4325	-0.17	-0.17	< 0.1	NULL
KCND2	ENST00000331113.4	potassium voltage-gated channel, Shal-related subfamily, member 2 	5	0	0	0	0	2	0	1	1	0	hsa-miR-199a-3p	0.0200	0.1360	0.6429	-0.17	-0.17	< 0.1	NULL
C11orf30	ENST00000529032.1	chromosome 11 open reading frame 30 	230	0	0	0	0	1	0	0	1	0	hsa-miR-199a-3p	0.0091	0.0657	0.4077	-0.17	-0.17	< 0.1	NULL
C17orf104	ENST00000409122.2	chromosome 17 open reading frame 104 	5	0	0	0	0	1	0	1	0	0	hsa-miR-199a-3p	0.0259	0.1740	0.8199	-0.17	-0.17	< 0.1	NULL
PEX26	ENST00000329627.7	peroxisomal biogenesis factor 26 	157	0	0	0	0	3	1	0	2	0	hsa-miR-199a-3p	0.0258	0.1713	0.7514	-0.17	-0.27	< 0.1	NULL
ABT1	ENST00000274849.1	activator of basal transcription 1 	138	0	0	0	0	1	0	0	1	0	hsa-miR-199a-3p	0.0071	0.0508	0.2981	-0.17	-0.17	< 0.1	NULL
ANXA8L1	ENST00000358140.4	annexin A8-like 1 	5	0	0	0	0	1	0	0	1	0	hsa-miR-199a-3p	0.0079	0.0553	0.3018	-0.17	-0.17	< 0.1	NULL
ANXA8	ENST00000357718.4	annexin A8 	5	0	0	0	0	1	0	0	1	0	hsa-miR-199a-3p	0.0079	0.0553	0.3018	-0.17	-0.17	< 0.1	NULL
TBX20	ENST00000408931.3	T-box 20 	0	0	0	0	0	2	1	0	1	0	hsa-miR-199a-3p	0.0194	0.1345	0.7000	-0.17	-0.17	< 0.1	NULL
LIPT2	ENST00000310109.4	lipoyl(octanoyl) transferase 2 (putative) 	198	0	0	0	0	1	0	0	1	1	hsa-miR-199a-3p	0.0064	0.0456	0.2654	-0.17	-0.17	< 0.1	NULL
ANXA8L2	ENST00000340243.6	annexin A8-like 2 	5	0	0	0	0	1	0	0	1	0	hsa-miR-199a-3p	0.0079	0.0553	0.3018	-0.17	-0.17	< 0.1	NULL
AC112693.2	ENST00000599897.1		5	0	0	0	0	1	0	0	1	0	hsa-miR-199a-3p	0.0050	0.0356	0.2142	-0.17	-0.17	< 0.1	NULL
PIK3R1	ENST00000521381.1	phosphoinositide-3-kinase, regulatory subunit 1 (alpha) 	217	0	0	0	0	2	0	0	2	1	hsa-miR-199a-3p	0.0215	0.1534	0.9055	-0.17	-0.18	0.49	NULL
FBXW11	ENST00000296933.6	F-box and WD repeat domain containing 11 	81	1	0	1	0	1	0	0	1	0	hsa-miR-199a-3p	0.0163	0.1127	0.5836	-0.17	-0.30	0.72	NULL
USP54	ENST00000339859.4	ubiquitin specific peptidase 54 	143	0	0	0	0	1	0	1	0	0	hsa-miR-199a-3p	0.0176	0.1176	0.5195	-0.17	-0.17	< 0.1	NULL
CSTA	ENST00000264474.3	cystatin A (stefin A) 	5	0	0	0	0	1	0	0	1	0	hsa-miR-199a-3p	0.0043	0.0309	0.1909	-0.17	-0.17	< 0.1	NULL
LRRC57	ENST00000397130.3	leucine rich repeat containing 57 	168	0	0	0	0	1	0	0	1	0	hsa-miR-199a-3p	0.0061	0.0437	0.2618	-0.17	-0.17	< 0.1	NULL
IREB2	ENST00000258886.8	iron-responsive element binding protein 2 	1096	1	0	1	0	0	0	0	0	0	hsa-miR-199a-3p	0.0204	0.1303	0.4905	-0.17	-0.24	0.59	NULL
TSPAN1	ENST00000372003.1	tetraspanin 1 	16	0	0	0	0	1	0	1	0	1	hsa-miR-199a-3p	0.0052	0.0372	0.2304	-0.17	-0.17	< 0.1	NULL
ERAP1	ENST00000443439.2	endoplasmic reticulum aminopeptidase 1 	133	0	0	0	0	1	1	0	0	0	hsa-miR-199a-3p	0.0221	0.1445	0.5895	-0.17	-0.17	< 0.1	NULL
PRKAR2A	ENST00000265563.8	protein kinase, cAMP-dependent, regulatory, type II, alpha 	583	0	0	0	0	1	1	0	0	0	hsa-miR-199a-3p	0.0169	0.1123	0.4769	-0.16	-0.17	< 0.1	NULL
TEAD1	ENST00000361905.4	TEA domain family member 1 (SV40 transcriptional enhancer factor) 	740	1	0	1	0	1	0	1	0	0	hsa-miR-199a-3p	0.0305	0.2063	0.9563	-0.16	-0.17	0.39	NULL
RREB1	ENST00000379938.2	ras responsive element binding protein 1 	340	1	0	1	0	0	0	0	0	2	hsa-miR-199a-3p	0.0320	0.2105	0.9229	-0.16	-0.17	0.50	NULL
DIO2	ENST00000438257.4	deiodinase, iodothyronine, type II 	98	1	1	0	0	0	0	0	0	1	hsa-miR-199a-3p	0.0152	0.1043	0.5350	-0.16	-0.26	< 0.1	NULL
ANKRD13A	ENST00000261739.4	ankyrin repeat domain 13A 	1644	0	0	0	0	1	0	1	0	0	hsa-miR-199a-3p	0.0137	0.0943	0.4718	-0.16	-0.16	< 0.1	NULL
POLR3F	ENST00000377603.4	polymerase (RNA) III (DNA directed) polypeptide F, 39 kDa 	47	0	0	0	0	1	0	1	0	0	hsa-miR-199a-3p	0.0321	0.1998	0.7022	-0.16	-0.16	< 0.1	NULL
AL354993.1	ENST00000439873.2	Cell growth-inhibiting protein 7; HCG1784586; Uncharacterized protein  	9	0	0	0	0	1	0	0	1	0	hsa-miR-199a-3p	0.0023	0.0166	0.1107	-0.16	-0.16	< 0.1	NULL
C15orf53	ENST00000318792.1	chromosome 15 open reading frame 53 	5	0	0	0	0	1	0	0	1	0	hsa-miR-199a-3p	0.0034	0.0246	0.1569	-0.16	-0.16	< 0.1	NULL
FGF20	ENST00000180166.5	fibroblast growth factor 20 	5	0	0	0	0	1	0	0	1	0	hsa-miR-199a-3p	0.0055	0.0399	0.2514	-0.16	-0.16	< 0.1	NULL
ATP13A2	ENST00000326735.8	ATPase type 13A2 	14	0	0	0	0	1	0	1	0	0	hsa-miR-199a-3p	0.0196	0.1345	0.6741	-0.16	-0.16	< 0.1	NULL
KIF2A	ENST00000381103.2	kinesin heavy chain member 2A 	905	0	0	0	0	2	0	1	1	0	hsa-miR-199a-3p	0.0124	0.0877	0.4934	-0.16	-0.17	< 0.1	NULL
LSM14B	ENST00000253001.4	LSM14B, SCD6 homolog B (S. cerevisiae) 	700	0	0	0	0	1	0	0	1	0	hsa-miR-199a-3p	0.0061	0.0432	0.2501	-0.16	-0.16	< 0.1	NULL
UNC13C	ENST00000545554.1	unc-13 homolog C (C. elegans) 	14	0	0	0	0	1	0	1	0	0	hsa-miR-199a-3p	0.0275	0.1936	1.0973	-0.16	-0.16	< 0.1	NULL
TACC1	ENST00000330691.6	transforming, acidic coiled-coil containing protein 1 	186	1	0	1	0	0	0	0	0	2	hsa-miR-199a-3p	0.0131	0.0928	0.5443	-0.16	-0.33	0.63	NULL
GPR137C	ENST00000321662.6	G protein-coupled receptor 137C 	110	0	0	0	0	2	0	0	2	0	hsa-miR-199a-3p	0.0128	0.0888	0.4656	-0.16	-0.26	< 0.1	NULL
RPL7	ENST00000396467.1	ribosomal protein L7 	271	0	0	0	0	1	0	1	0	0	hsa-miR-199a-3p	0.0080	0.0545	0.2611	-0.16	-0.26	< 0.1	NULL
MBD4	ENST00000503197.1	methyl-CpG binding domain protein 4 	184	0	0	0	0	1	0	0	1	0	hsa-miR-199a-3p	0.0090	0.0628	0.3330	-0.16	-0.20	< 0.1	NULL
PTPRG	ENST00000474889.1	protein tyrosine phosphatase, receptor type, G 	696	1	0	0	1	0	0	0	0	1	hsa-miR-199a-3p	0.0175	0.1207	0.6159	-0.16	-0.16	0.86	NULL
ADD3	ENST00000277900.8	adducin 3 (gamma) 	537	1	0	1	0	0	0	0	0	0	hsa-miR-199a-3p	0.0129	0.0885	0.4280	-0.16	-0.16	0.31	NULL
DLX5	ENST00000222598.4	distal-less homeobox 5 	20	0	0	0	0	1	0	1	0	0	hsa-miR-199a-3p	0.0067	0.0476	0.2818	-0.16	-0.16	< 0.1	NULL
TSGA10	ENST00000393483.3	testis specific, 10 	8	0	0	0	0	1	0	1	0	1	hsa-miR-199a-3p	0.0097	0.0693	0.4163	-0.16	-0.23	< 0.1	NULL
UNKL	ENST00000389221.4	unkempt homolog (Drosophila)-like 	308	1	0	1	0	0	0	0	0	1	hsa-miR-199a-3p	0.0114	0.0791	0.4034	-0.16	-0.18	0.26	NULL
ALDH9A1	ENST00000354775.4	aldehyde dehydrogenase 9 family, member A1 	4094	0	0	0	0	1	0	1	0	0	hsa-miR-199a-3p	0.0078	0.0550	0.3114	-0.16	-0.16	< 0.1	NULL
ZNF740	ENST00000416904.3	zinc finger protein 740 	2137	1	0	0	1	0	0	0	0	0	hsa-miR-199a-3p	0.0145	0.0980	0.4409	-0.16	-0.17	0.74	NULL
C6orf62	ENST00000378119.4	chromosome 6 open reading frame 62 	300	1	0	1	0	0	0	0	0	0	hsa-miR-199a-3p	0.0203	0.1198	0.3627	-0.16	-0.35	0.87	NULL
ELOVL4	ENST00000369816.4	ELOVL fatty acid elongase 4 	129	0	0	0	0	1	0	0	1	0	hsa-miR-199a-3p	0.0056	0.0401	0.2352	-0.16	-0.16	< 0.1	NULL
ANKRD1	ENST00000371697.3	ankyrin repeat domain 1 (cardiac muscle) 	8	0	0	0	0	1	0	0	1	0	hsa-miR-199a-3p	0.0037	0.0265	0.1709	-0.16	-0.16	< 0.1	NULL
TSPAN14	ENST00000429989.3	tetraspanin 14 	239	1	0	0	1	1	1	0	0	2	hsa-miR-199a-3p	0.0237	0.1551	0.6452	-0.16	-0.23	0.86	NULL
DPY19L4	ENST00000414645.2	dpy-19-like 4 (C. elegans) 	362	0	0	0	0	2	0	0	2	1	hsa-miR-199a-3p	0.0147	0.1036	0.5893	-0.16	-0.21	< 0.1	NULL
PGRMC2	ENST00000296425.5	progesterone receptor membrane component 2 	2089	1	0	0	1	0	0	0	0	0	hsa-miR-199a-3p	0.0085	0.0598	0.3285	-0.16	-0.18	0.63	NULL
DPY19L3	ENST00000586987.1	dpy-19-like 3 (C. elegans) 	146	0	0	0	0	1	1	0	0	0	hsa-miR-199a-3p	0.0213	0.1367	0.5462	-0.16	-0.24	< 0.1	NULL
PIP5KL1	ENST00000388747.4	phosphatidylinositol-4-phosphate 5-kinase-like 1 	12	0	0	0	0	1	1	0	0	0	hsa-miR-199a-3p	0.0072	0.0498	0.2432	-0.16	-0.27	< 0.1	NULL
EHD3	ENST00000322054.5	EH-domain containing 3 	206	1	0	1	0	1	0	0	1	3	hsa-miR-199a-3p	0.0135	0.0950	0.5221	-0.16	-0.22	0.23	NULL
DCP2	ENST00000389063.2	decapping mRNA 2 	155	1	0	1	0	1	0	0	1	2	hsa-miR-199a-3p	0.0146	0.1036	0.6054	-0.16	-0.27	0.41	NULL
DNAJC8	ENST00000263697.4	DnaJ (Hsp40) homolog, subfamily C, member 8 	584	0	0	0	0	1	0	0	1	0	hsa-miR-199a-3p	0.0037	0.0272	0.1796	-0.16	-0.16	< 0.1	NULL
TRIM52	ENST00000327767.4	tripartite motif containing 52 	43	0	0	0	0	1	0	0	1	1	hsa-miR-199a-3p	0.0128	0.0900	0.5005	-0.16	-0.16	< 0.1	NULL
EBLN2	ENST00000533473.1	endogenous Bornavirus-like nucleoprotein 2 	5	0	0	0	0	1	0	1	0	0	hsa-miR-199a-3p	0.0061	0.0433	0.2528	-0.16	-0.16	< 0.1	NULL
FAM160B1	ENST00000369248.4	family with sequence similarity 160, member B1 	91	0	0	0	0	1	0	1	0	0	hsa-miR-199a-3p	0.0188	0.1331	0.7764	-0.16	-0.16	< 0.1	NULL
RP5-850E9.3	ENST00000488788.2	Uncharacterized protein  	10	0	0	0	0	1	0	0	1	0	hsa-miR-199a-3p	0.0046	0.0334	0.2057	-0.16	-0.16	< 0.1	NULL
PLP1	ENST00000303958.2	proteolipid protein 1 	5	0	0	0	0	1	1	0	0	0	hsa-miR-199a-3p	0.0137	0.0932	0.4317	-0.16	-0.16	< 0.1	NULL
ZNF829	ENST00000520965.1	zinc finger protein 829 	103	0	0	0	0	1	1	0	0	0	hsa-miR-199a-3p	0.0300	0.1929	0.7683	-0.16	-0.16	< 0.1	NULL
CMBL	ENST00000296658.3	carboxymethylenebutenolidase homolog (Pseudomonas) 	2602	0	0	0	0	2	0	1	1	2	hsa-miR-199a-3p	0.0068	0.0488	0.2903	-0.16	-0.19	< 0.1	NULL
MSN	ENST00000360270.5	moesin 	5947	0	0	0	0	1	0	0	1	0	hsa-miR-199a-3p	0.0040	0.0288	0.1828	-0.16	-0.16	< 0.1	NULL
SASS6	ENST00000287482.5	spindle assembly 6 homolog (C. elegans) 	796	0	0	0	0	1	0	1	0	0	hsa-miR-199a-3p	0.0145	0.1028	0.6035	-0.16	-0.16	< 0.1	NULL
AL031666.2	ENST00000599904.1	HCG2018772; Uncharacterized protein; cDNA FLJ31609 fis, clone NT2RI2002852  	5	0	0	0	0	1	0	0	1	1	hsa-miR-199a-3p	0.0079	0.0571	0.3606	-0.16	-0.16	< 0.1	NULL
TOE1	ENST00000372090.5	target of EGR1, member 1 (nuclear) 	62	0	0	0	0	1	0	0	1	0	hsa-miR-199a-3p	0.0049	0.0352	0.2123	-0.16	-0.16	< 0.1	NULL
VEZF1	ENST00000584396.1	vascular endothelial zinc finger 1 	209	0	0	0	0	1	0	1	0	1	hsa-miR-199a-3p	0.0149	0.1030	0.5202	-0.16	-0.16	0.17	NULL
CAPZA2	ENST00000361183.3	capping protein (actin filament) muscle Z-line, alpha 2 	2065	0	0	0	0	2	0	1	1	0	hsa-miR-199a-3p	0.0081	0.0574	0.3303	-0.16	-0.19	< 0.1	NULL
C8orf44-SGK3	ENST00000519289.1	C8orf44-SGK3 readthrough 	56	1	0	1	0	0	0	0	0	0	hsa-miR-199a-3p	0.0094	0.0631	0.2791	-0.16	-0.27	0.66	NULL
PGM3	ENST00000513973.1	phosphoglucomutase 3 	707	0	0	0	0	1	0	1	0	2	hsa-miR-199a-3p	0.0124	0.0882	0.5173	-0.16	-0.17	< 0.1	NULL
ARHGAP20	ENST00000260283.4	Rho GTPase activating protein 20 	85	1	0	1	0	0	0	0	0	0	hsa-miR-199a-3p	0.0318	0.2041	0.8208	-0.16	-0.16	0.85	NULL
BMP5	ENST00000370830.3	bone morphogenetic protein 5 	5	0	0	0	0	1	0	1	0	0	hsa-miR-199a-3p	0.0071	0.0500	0.2798	-0.16	-0.16	0.19	NULL
RHPN2	ENST00000254260.3	rhophilin, Rho GTPase binding protein 2 	5	0	0	0	0	1	0	0	1	0	hsa-miR-199a-3p	0.0085	0.0599	0.3216	-0.16	-0.16	< 0.1	NULL
PRRG1	ENST00000378628.4	proline rich Gla (G-carboxyglutamic acid) 1 	1122	0	0	0	0	1	0	0	1	0	hsa-miR-199a-3p	0.0110	0.0759	0.3778	-0.16	-0.16	< 0.1	NULL
TMEM14B	ENST00000467317.1	transmembrane protein 14B 	5	0	0	0	0	1	0	0	1	0	hsa-miR-199a-3p	0.0019	0.0140	0.0963	-0.16	-0.16	< 0.1	NULL
SLC7A1	ENST00000380752.5	solute carrier family 7 (cationic amino acid transporter, y+ system), member 1 	338	1	0	0	1	0	0	0	0	0	hsa-miR-199a-3p	0.0124	0.0839	0.3780	-0.16	-0.19	0.79	NULL
ACBD3	ENST00000366812.5	acyl-CoA binding domain containing 3 	828	0	0	0	0	1	0	0	1	0	hsa-miR-199a-3p	0.0177	0.1255	0.7339	-0.16	-0.16	< 0.1	NULL
KLF12	ENST00000377669.2	Kruppel-like factor 12 	251	1	0	1	0	1	0	0	1	0	hsa-miR-199a-3p	0.0233	0.1641	0.9225	-0.16	-0.16	0.56	NULL
KIF5B	ENST00000302418.4	kinesin family member 5B 	635	0	0	0	0	2	0	2	0	1	hsa-miR-199a-3p	0.0217	0.1464	0.6806	-0.16	-0.31	0.15	NULL
AC138655.1	ENST00000601243.1	CDNA: FLJ23120 fis, clone LNG07989; HCG1987724; Uncharacterized protein  	5	0	0	0	0	1	0	0	1	0	hsa-miR-199a-3p	0.0093	0.0648	0.3386	-0.16	-0.16	< 0.1	NULL
FKBP14	ENST00000222803.5	FK506 binding protein 14, 22 kDa 	939	0	0	0	0	1	0	1	0	2	hsa-miR-199a-3p	0.0117	0.0838	0.5015	-0.16	-0.19	< 0.1	NULL
SLC1A2	ENST00000278379.3	solute carrier family 1 (glial high affinity glutamate transporter), member 2 	5	0	0	0	0	2	2	0	0	0	hsa-miR-199a-3p	0.0404	0.2676	1.1778	-0.15	-0.15	< 0.1	NULL
SRXN1	ENST00000381962.3	sulfiredoxin 1 	10	0	0	0	0	1	0	0	1	0	hsa-miR-199a-3p	0.0046	0.0334	0.2053	-0.15	-0.15	< 0.1	NULL
CARD6	ENST00000254691.5	caspase recruitment domain family, member 6 	285	0	0	0	0	1	0	1	0	0	hsa-miR-199a-3p	0.0119	0.0828	0.4372	-0.15	-0.15	< 0.1	NULL
GABRG3	ENST00000333743.6	gamma-aminobutyric acid (GABA) A receptor, gamma 3 	5	0	0	0	0	1	0	0	1	0	hsa-miR-199a-3p	0.0034	0.0251	0.1658	-0.15	-0.15	< 0.1	NULL
SCRG1	ENST00000296506.3	stimulator of chondrogenesis 1 	5	0	0	0	0	2	0	2	0	0	hsa-miR-199a-3p	0.0114	0.0818	0.5002	-0.15	-0.15	< 0.1	NULL
NAP1L5	ENST00000323061.5	nucleosome assembly protein 1-like 5 	28	0	0	0	0	1	0	1	0	0	hsa-miR-199a-3p	0.0061	0.0426	0.2298	-0.15	-0.21	< 0.1	NULL
CEP55	ENST00000371485.3	centrosomal protein 55kDa 	92	0	0	0	0	1	0	0	1	1	hsa-miR-199a-3p	0.0026	0.0192	0.1302	-0.15	-0.20	< 0.1	NULL
GOSR1	ENST00000225724.5	golgi SNAP receptor complex member 1 	668	0	0	0	0	2	0	1	1	1	hsa-miR-199a-3p	0.0180	0.1275	0.7272	-0.15	-0.15	0.11	NULL
CYP19A1	ENST00000396402.1	cytochrome P450, family 19, subfamily A, polypeptide 1 	5	0	0	0	0	1	0	0	1	2	hsa-miR-199a-3p	0.0095	0.0683	0.4307	-0.15	-0.15	< 0.1	NULL
STX17	ENST00000259400.6	syntaxin 17 	510	0	0	0	0	1	0	0	1	0	hsa-miR-199a-3p	0.0147	0.1051	0.6251	-0.15	-0.15	< 0.1	NULL
CYHR1	ENST00000403000.2	cysteine/histidine-rich 1 	349	0	0	0	0	1	0	0	1	0	hsa-miR-199a-3p	0.0035	0.0255	0.1621	-0.15	-0.15	< 0.1	NULL
GPATCH2L	ENST00000553588.1	G patch domain containing 2-like 	96	0	0	0	0	1	0	1	0	0	hsa-miR-199a-3p	0.0077	0.0541	0.2876	-0.15	-0.17	< 0.1	NULL
ID2	ENST00000234091.4	inhibitor of DNA binding 2, dominant negative helix-loop-helix protein 	20	0	0	0	0	1	0	0	1	0	hsa-miR-199a-3p	0.0037	0.0270	0.1699	-0.15	-0.15	0.26	NULL
HEATR2	ENST00000297440.6	HEAT repeat containing 2 	6248	0	0	0	0	1	0	0	1	0	hsa-miR-199a-3p	0.0076	0.0540	0.3082	-0.15	-0.15	< 0.1	NULL
AC026310.1	ENST00000599478.1	Protein 101060047  	5	0	0	0	0	1	0	0	1	0	hsa-miR-199a-3p	0.0035	0.0256	0.1625	-0.15	-0.15	< 0.1	NULL
TRIM72	ENST00000322122.3	tripartite motif containing 72 	8	0	0	0	0	1	0	0	1	1	hsa-miR-199a-3p	0.0055	0.0400	0.2576	-0.15	-0.15	< 0.1	NULL
XRN2	ENST00000377191.3	5'-3' exoribonuclease 2 	48	0	0	0	0	1	0	0	1	0	hsa-miR-199a-3p	0.0038	0.0273	0.1614	-0.15	-0.24	< 0.1	NULL
CDRT4	ENST00000312177.6	CMT1A duplicated region transcript 4 	109	0	0	0	0	1	0	0	1	0	hsa-miR-199a-3p	0.0083	0.0588	0.3284	-0.15	-0.15	< 0.1	NULL
LIG3	ENST00000378526.4	ligase III, DNA, ATP-dependent 	554	0	0	0	0	2	0	1	1	1	hsa-miR-199a-3p	0.0119	0.0824	0.4108	-0.15	-0.20	< 0.1	NULL
DSC2	ENST00000251081.6	desmocollin 2 	145	0	0	0	0	1	0	1	0	0	hsa-miR-199a-3p	0.0095	0.0670	0.3709	-0.15	-0.17	< 0.1	NULL
CEP97	ENST00000341893.3	centrosomal protein 97kDa 	290	0	0	0	0	1	0	1	0	1	hsa-miR-199a-3p	0.0239	0.1682	0.9347	-0.15	-0.16	< 0.1	NULL
CD1D	ENST00000368171.3	CD1d molecule 	7	0	0	0	0	2	0	0	2	0	hsa-miR-199a-3p	0.0073	0.0514	0.2891	-0.15	-0.33	< 0.1	NULL
LOX	ENST00000231004.4	lysyl oxidase 	3441	1	0	1	0	0	0	0	0	1	hsa-miR-199a-3p	0.0194	0.1219	0.4748	-0.15	-0.34	0.68	NULL
EFHD2	ENST00000375980.4	EF-hand domain family, member D2 	1411	0	0	0	0	1	0	0	1	0	hsa-miR-199a-3p	0.0066	0.0470	0.2858	-0.15	-0.15	< 0.1	NULL
RP11-758M4.1	ENST00000523118.1	Uncharacterized protein  	5	0	0	0	0	1	0	1	0	0	hsa-miR-199a-3p	0.0102	0.0709	0.3739	-0.15	-0.15	< 0.1	NULL
LHFPL1	ENST00000371968.3	lipoma HMGIC fusion partner-like 1 	5	0	0	0	0	1	0	1	0	0	hsa-miR-199a-3p	0.0058	0.0416	0.2600	-0.15	-0.15	< 0.1	NULL
TAF4B	ENST00000269142.5	TAF4b RNA polymerase II, TATA box binding protein (TBP)-associated factor, 105kDa 	52	0	0	0	0	1	0	0	1	0	hsa-miR-199a-3p	0.0147	0.1038	0.5888	-0.15	-0.15	< 0.1	NULL
AGL	ENST00000370161.2	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase 	48	0	0	0	0	1	0	1	0	0	hsa-miR-199a-3p	0.0205	0.1406	0.7152	-0.15	-0.15	< 0.1	NULL
KLK3	ENST00000326003.2	kallikrein-related peptidase 3 	5	0	0	0	0	1	0	0	1	0	hsa-miR-199a-3p	0.0037	0.0267	0.1685	-0.15	-0.15	< 0.1	NULL
SLC22A5	ENST00000245407.3	solute carrier family 22 (organic cation/carnitine transporter), member 5 	37	0	0	0	0	1	0	0	1	0	hsa-miR-199a-3p	0.0133	0.0906	0.4425	-0.15	-0.22	0.15	NULL
STAT1	ENST00000540176.1	signal transducer and activator of transcription 1, 91kDa 	326	0	0	0	0	1	0	1	0	0	hsa-miR-199a-3p	0.0061	0.0442	0.2878	-0.15	-0.17	< 0.1	NULL
UBL3	ENST00000380680.4	ubiquitin-like 3 	431	0	0	0	0	1	0	1	0	0	hsa-miR-199a-3p	0.0079	0.0549	0.2938	-0.15	-0.26	< 0.1	NULL
CBLN1	ENST00000219197.6	cerebellin 1 precursor 	12	0	0	0	0	1	0	0	1	0	hsa-miR-199a-3p	0.0057	0.0408	0.2390	-0.15	-0.15	< 0.1	NULL
FABP7	ENST00000356535.4	fatty acid binding protein 7, brain 	5	0	0	0	0	1	0	1	0	0	hsa-miR-199a-3p	0.0126	0.0873	0.4405	-0.15	-0.15	< 0.1	NULL
NAA25	ENST00000261745.4	N(alpha)-acetyltransferase 25, NatB auxiliary subunit 	919	2	1	1	0	0	0	0	0	1	hsa-miR-199a-3p	0.0254	0.1523	0.5163	-0.15	-0.59	0.91	NULL
SORBS2	ENST00000284776.7	sorbin and SH3 domain containing 2 	1279	0	0	0	0	1	0	0	1	0	hsa-miR-199a-3p	0.0080	0.0562	0.3006	-0.15	-0.16	< 0.1	NULL
EPAS1	ENST00000263734.3	endothelial PAS domain protein 1 	3689	1	0	0	1	0	0	0	0	0	hsa-miR-199a-3p	0.0084	0.0592	0.3353	-0.15	-0.15	0.52	NULL
DCAF12L1	ENST00000371126.1	DDB1 and CUL4 associated factor 12-like 1 	5	0	0	0	0	1	0	1	0	0	hsa-miR-199a-3p	0.0202	0.1344	0.5822	-0.15	-0.15	< 0.1	NULL
AC008132.13	ENST00000342005.4	Uncharacterized protein  	5	0	0	0	0	1	0	0	1	0	hsa-miR-199a-3p	0.0057	0.0407	0.2537	-0.15	-0.15	< 0.1	NULL
CAMK4	ENST00000282356.4	calcium/calmodulin-dependent protein kinase IV 	73	0	0	0	0	3	0	2	1	0	hsa-miR-199a-3p	0.0194	0.1381	0.8189	-0.15	-0.18	< 0.1	NULL
FAM57B	ENST00000564806.1	family with sequence similarity 57, member B 	5	0	0	0	0	1	0	0	1	1	hsa-miR-199a-3p	0.0058	0.0417	0.2572	-0.15	-0.15	< 0.1	NULL
GPR62	ENST00000322241.4	G protein-coupled receptor 62 	5	0	0	0	0	1	0	0	1	0	hsa-miR-199a-3p	0.0108	0.0744	0.3727	-0.15	-0.15	< 0.1	NULL
CPEB3	ENST00000412050.4	cytoplasmic polyadenylation element binding protein 3 	48	0	0	0	0	1	0	1	0	3	hsa-miR-199a-3p	0.0205	0.1469	0.9093	-0.15	-0.19	< 0.1	NULL
BLOC1S6	ENST00000220531.3	biogenesis of lysosomal organelles complex-1, subunit 6, pallidin 	1754	0	0	0	0	1	0	0	1	0	hsa-miR-199a-3p	0.0121	0.0849	0.4644	-0.15	-0.15	< 0.1	NULL
SLC9C2	ENST00000367714.3	solute carrier family 9, member C2 (putative) 	5	0	0	0	0	1	0	0	1	0	hsa-miR-199a-3p	0.0120	0.0854	0.4969	-0.15	-0.15	< 0.1	NULL
MAGEB2	ENST00000378988.4	melanoma antigen family B, 2 	255	0	0	0	0	1	0	1	0	0	hsa-miR-199a-3p	0.0041	0.0297	0.1935	-0.15	-0.15	< 0.1	NULL
RABEP1	ENST00000262477.6	rabaptin, RAB GTPase binding effector protein 1 	1163	1	0	0	1	2	0	1	1	1	hsa-miR-199a-3p	0.0236	0.1492	0.5920	-0.15	-0.39	0.65	NULL
GCC1	ENST00000321407.2	GRIP and coiled-coil domain containing 1 	26	0	0	0	0	1	0	1	0	0	hsa-miR-199a-3p	0.0104	0.0731	0.4068	-0.15	-0.15	< 0.1	NULL
ZNF721	ENST00000338977.5	zinc finger protein 721 	249	0	0	0	0	1	0	0	1	0	hsa-miR-199a-3p	0.0127	0.0902	0.5319	-0.15	-0.15	< 0.1	NULL
CLDND1	ENST00000341181.6	claudin domain containing 1 	24	0	0	0	0	1	0	1	0	0	hsa-miR-199a-3p	0.0059	0.0419	0.2512	-0.15	-0.25	< 0.1	NULL
SYT4	ENST00000255224.3	synaptotagmin IV 	11	0	0	0	0	1	0	0	1	0	hsa-miR-199a-3p	0.0079	0.0554	0.3054	-0.15	-0.15	< 0.1	NULL
