Target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
OR11A1	ENST00000377148.1	olfactory receptor, family 11, subfamily A, member 1 	5	1	0	1	0	0	hsa-miR-195-3p				-0.11	-0.11	N/A
TMEM30B	ENST00000555868.1	transmembrane protein 30B 	10	1	1	0	0	1	hsa-miR-16-2-3p				-0.11	-0.11	N/A
AGL	ENST00000370161.2	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase 	48	3	1	1	1	1	hsa-miR-16-2-3p				-0.11	-0.11	N/A
KRT28	ENST00000306658.7	keratin 28 	5	1	0	0	1	0	hsa-miR-195-3p				-0.11	-0.11	N/A
KCNMB2	ENST00000432997.1	potassium large conductance calcium-activated channel, subfamily M, beta member 2 	5	2	0	2	0	0	hsa-miR-16-2-3p				-0.11	-0.11	N/A
ZNF492	ENST00000456783.2	zinc finger protein 492 	5	2	0	1	1	0	hsa-miR-16-2-3p				-0.11	-0.11	N/A
DHX36	ENST00000496811.1	DEAH (Asp-Glu-Ala-His) box polypeptide 36 	108	1	0	0	1	2	hsa-miR-16-2-3p				-0.11	-0.18	N/A
GPALPP1	ENST00000361121.2	GPALPP motifs containing 1 	845	2	2	0	0	1	hsa-miR-195-3p				-0.11	-0.13	N/A
CCDC14	ENST00000488653.2	coiled-coil domain containing 14 	275	2	0	0	2	1	hsa-miR-16-2-3p				-0.11	-0.11	N/A
BMP3	ENST00000282701.2	bone morphogenetic protein 3 	36	2	2	0	0	1	hsa-miR-16-2-3p				-0.11	-0.11	N/A
CALCB	ENST00000523376.1	calcitonin-related polypeptide beta 	39	1	0	1	0	0	hsa-miR-16-2-3p				-0.11	-0.11	N/A
AKAP11	ENST00000025301.2	A kinase (PRKA) anchor protein 11 	71	5	1	4	0	0	hsa-miR-16-2-3p				-0.11	-0.11	N/A
CCDC152	ENST00000361970.5	coiled-coil domain containing 152 	5	1	0	1	0	0	hsa-miR-195-3p				-0.11	-0.11	N/A
ZNF705G	ENST00000400156.4	zinc finger protein 705G 	5	1	1	0	0	0	hsa-miR-16-2-3p				-0.11	-0.11	N/A
WDR20	ENST00000335263.5	WD repeat domain 20 	288	1	0	1	0	0	hsa-miR-16-2-3p				-0.11	-0.12	N/A
STAT1	ENST00000540176.1	signal transducer and activator of transcription 1, 91kDa 	326	2	1	1	0	0	hsa-miR-195-3p				-0.11	-0.16	N/A
ZNF705A	ENST00000359286.4	zinc finger protein 705A 	5	1	1	0	0	0	hsa-miR-16-2-3p				-0.11	-0.11	N/A
TMPRSS4	ENST00000534111.1	transmembrane protease, serine 4 	5	1	0	0	1	1	hsa-miR-16-2-3p				-0.11	-0.11	N/A
C1orf52	ENST00000471115.1	chromosome 1 open reading frame 52 	1516	1	0	1	0	2	hsa-miR-16-2-3p				-0.11	-0.13	N/A
TAF15	ENST00000588240.1	TAF15 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 68kDa 	225	1	0	1	0	0	hsa-miR-16-2-3p				-0.11	-0.11	N/A
ACTN1	ENST00000193403.6	actinin, alpha 1 	10087	1	0	1	0	1	hsa-miR-16-2-3p				-0.11	-0.17	N/A
N4BP1	ENST00000262384.3	NEDD4 binding protein 1 	105	2	1	1	0	0	hsa-miR-16-2-3p				-0.11	-0.11	N/A
PDZD8	ENST00000334464.5	PDZ domain containing 8 	99	1	1	0	0	1	hsa-miR-16-2-3p				-0.11	-0.14	N/A
COX7B	ENST00000481445.1	cytochrome c oxidase subunit VIIb 	83	1	0	0	1	2	hsa-miR-16-2-3p				-0.11	-0.11	N/A
MARCH1	ENST00000274056.7	membrane-associated ring finger (C3HC4) 1, E3 ubiquitin protein ligase 	5	1	0	1	0	1	hsa-miR-195-3p				-0.11	-0.11	N/A
KCNV2	ENST00000382082.3	potassium channel, subfamily V, member 2 	5	1	0	0	1	0	hsa-miR-195-3p				-0.11	-0.11	N/A
MMGT1	ENST00000305963.2	membrane magnesium transporter 1 	113	2	0	1	1	0	hsa-miR-16-2-3p				-0.11	-0.11	N/A
CDK6	ENST00000265734.4	cyclin-dependent kinase 6 	1116	6	0	5	1	6	hsa-miR-195-3p				-0.11	-0.12	N/A
EMR2	ENST00000315576.3	egf-like module containing, mucin-like, hormone receptor-like 2 	11	2	1	1	0	1	hsa-miR-195-3p				-0.11	-0.12	N/A
PIK3R1	ENST00000521381.1	phosphoinositide-3-kinase, regulatory subunit 1 (alpha) 	217	3	0	3	0	0	hsa-miR-195-3p				-0.11	-0.11	N/A
RP11-17M16.1	ENST00000532511.1	Homo sapiens FLJ44313 protein (FLJ44313), mRNA. 	9	1	0	1	0	0	hsa-miR-195-3p				-0.11	-0.11	N/A
GRIP1	ENST00000398016.3	glutamate receptor interacting protein 1 	28	3	1	0	2	0	hsa-miR-16-2-3p				-0.11	-0.11	N/A
GDF5	ENST00000374369.3	growth differentiation factor 5 	5	1	0	0	1	0	hsa-miR-16-2-3p				-0.11	-0.11	N/A
RNF219	ENST00000282003.6	ring finger protein 219 	680	2	1	1	0	0	hsa-miR-195-3p				-0.11	-0.11	N/A
ZUFSP	ENST00000368576.3	zinc finger with UFM1-specific peptidase domain 	138	1	0	0	1	0	hsa-miR-16-2-3p				-0.11	-0.11	N/A
THSD7B	ENST00000409968.1	thrombospondin, type I, domain containing 7B 	5	3	0	3	0	1	hsa-miR-195-3p				-0.11	-0.11	N/A
IAPP	ENST00000542023.1	islet amyloid polypeptide 	5	1	0	0	1	0	hsa-miR-195-3p				-0.11	-0.11	N/A
HIVEP1	ENST00000379388.2	human immunodeficiency virus type I enhancer binding protein 1 	781	1	0	1	0	0	hsa-miR-16-2-3p				-0.11	-0.11	N/A
SCML1	ENST00000380045.3	sex comb on midleg-like 1 (Drosophila) 	722	1	0	1	0	1	hsa-miR-195-3p				-0.11	-0.11	N/A
PDLIM5	ENST00000437932.1	PDZ and LIM domain 5 	1002	1	1	0	0	0	hsa-miR-16-2-3p				-0.11	-0.14	N/A
CAST	ENST00000395812.2	calpastatin 	4674	2	0	2	0	1	hsa-miR-195-3p				-0.11	-0.14	N/A
YIPF4	ENST00000238831.4	Yip1 domain family, member 4 	3482	1	0	1	0	1	hsa-miR-16-2-3p				-0.11	-0.24	N/A
KCNJ3	ENST00000295101.2	potassium inwardly-rectifying channel, subfamily J, member 3 	21	1	0	0	1	1	hsa-miR-16-2-3p				-0.11	-0.11	N/A
YBX3	ENST00000279550.7	Y box binding protein 3 	631	1	0	0	1	0	hsa-miR-16-2-3p				-0.11	-0.11	N/A
ZNF208	ENST00000397126.4	zinc finger protein 208 	0	3	0	2	1	0	hsa-miR-16-2-3p				-0.11	-0.11	N/A
PPCS	ENST00000372556.3	phosphopantothenoylcysteine synthetase 	491	1	0	1	0	0	hsa-miR-16-2-3p				-0.11	-0.11	N/A
ZNF420	ENST00000337995.3	zinc finger protein 420 	67	2	1	0	1	0	hsa-miR-16-2-3p				-0.11	-0.11	N/A
EFTUD1	ENST00000268206.7	elongation factor Tu GTP binding domain containing 1 	167	1	0	1	0	0	hsa-miR-16-2-3p				-0.11	-0.11	N/A
AP1AR	ENST00000274000.5	adaptor-related protein complex 1 associated regulatory protein 	89	2	0	1	1	0	hsa-miR-16-2-3p				-0.11	-0.15	N/A
RDX	ENST00000343115.4	radixin 	44	2	1	0	1	2	hsa-miR-16-2-3p				-0.11	-0.53	N/A
PYGO1	ENST00000302000.6	pygopus homolog 1 (Drosophila) 	104	1	0	0	1	1	hsa-miR-195-3p				-0.11	-0.12	N/A
GSPT1	ENST00000434724.2	G1 to S phase transition 1 	1119	2	1	0	1	1	hsa-miR-16-2-3p				-0.11	-0.17	N/A
FBXO45	ENST00000311630.6	F-box protein 45 	72	2	0	0	2	1	hsa-miR-16-2-3p				-0.11	-0.14	N/A
SERP1	ENST00000239944.2	stress-associated endoplasmic reticulum protein 1 	3242	2	0	2	0	0	hsa-miR-16-2-3p				-0.11	-0.14	N/A
POU3F3	ENST00000361360.2	POU class 3 homeobox 3 	461	2	0	1	1	3	hsa-miR-16-2-3p				-0.11	-0.49	N/A
BROX	ENST00000537020.1	BRO1 domain and CAAX motif containing 	149	3	1	2	0	1	hsa-miR-16-2-3p				-0.11	-0.13	N/A
PRRX1	ENST00000367760.3	paired related homeobox 1 	57	2	0	2	0	0	hsa-miR-16-2-3p				-0.11	-0.11	N/A
MEAF6	ENST00000373075.2	MYST/Esa1-associated factor 6 	440	1	0	1	0	2	hsa-miR-195-3p				-0.11	-0.13	N/A
LUM	ENST00000266718.4	lumican 	3142	2	0	1	1	0	hsa-miR-16-2-3p				-0.10	-0.10	N/A
SLC39A8	ENST00000394833.2	solute carrier family 39 (zinc transporter), member 8 	228	1	0	1	0	0	hsa-miR-195-3p				-0.10	-0.11	N/A
ZNF423	ENST00000561648.1	zinc finger protein 423 	170	2	1	0	1	0	hsa-miR-16-2-3p				-0.10	-0.14	N/A
COMMD2	ENST00000473414.1	COMM domain containing 2 	833	1	1	0	0	3	hsa-miR-195-3p				-0.10	-0.14	N/A
C1orf35	ENST00000272139.4	chromosome 1 open reading frame 35 	32	2	0	1	1	0	hsa-miR-16-2-3p				-0.10	-0.22	N/A
IQCH	ENST00000358767.3	IQ motif containing H 	46	2	0	0	2	0	hsa-miR-195-3p				-0.10	-0.17	N/A
ACTR3	ENST00000263238.2	ARP3 actin-related protein 3 homolog (yeast) 	816	2	0	1	1	3	hsa-miR-16-2-3p				-0.10	-0.22	N/A
ATAD2	ENST00000287394.5	ATPase family, AAA domain containing 2 	851	1	0	1	0	0	hsa-miR-195-3p				-0.10	-0.10	N/A
ZNF726	ENST00000525354.2	zinc finger protein 726 	16	2	1	1	0	1	hsa-miR-16-2-3p				-0.10	-0.25	N/A
SPATA6	ENST00000371847.3	spermatogenesis associated 6 	23	1	1	0	0	1	hsa-miR-16-2-3p				-0.10	-0.16	N/A
JHDM1D	ENST00000397560.2	jumonji C domain containing histone demethylase 1 homolog D (S. cerevisiae) 	470	4	2	1	1	0	hsa-miR-16-2-3p				-0.10	-0.11	N/A
OSMR	ENST00000274276.3	oncostatin M receptor 	2781	1	0	0	1	1	hsa-miR-16-2-3p				-0.10	-0.10	N/A
CTAGE9	ENST00000314099.8	CTAGE family, member 9 	5	1	0	1	0	0	hsa-miR-195-3p				-0.10	-0.10	N/A
TMEM155	ENST00000394396.1	transmembrane protein 155 	5	1	0	1	0	1	hsa-miR-16-2-3p				-0.10	-0.10	N/A
LIPA	ENST00000336233.5	lipase A, lysosomal acid, cholesterol esterase 	1793	1	0	0	1	0	hsa-miR-16-2-3p				-0.10	-0.10	N/A
CNTN5	ENST00000524871.1	contactin 5 	5	1	0	1	0	1	hsa-miR-16-2-3p				-0.10	-0.10	N/A
ACTR3B	ENST00000256001.8	ARP3 actin-related protein 3 homolog B (yeast) 	660	1	0	0	1	0	hsa-miR-16-2-3p				-0.10	-0.11	N/A
MAP3K7CL	ENST00000286791.5	MAP3K7 C-terminal like 	87	1	0	1	0	0	hsa-miR-16-2-3p				-0.10	-0.12	N/A
MID1	ENST00000453318.2	midline 1 (Opitz/BBB syndrome) 	677	2	1	0	1	0	hsa-miR-195-3p				-0.10	-0.11	N/A
BRI3BP	ENST00000341446.8	BRI3 binding protein 	820	1	0	1	0	1	hsa-miR-16-2-3p				-0.10	-0.12	N/A
TRMT1L	ENST00000367504.3	tRNA methyltransferase 1 homolog (S. cerevisiae)-like 	410	1	0	1	0	0	hsa-miR-16-2-3p				-0.10	-0.11	N/A
GK	ENST00000378946.3	glycerol kinase 	38	1	0	1	0	0	hsa-miR-16-2-3p				-0.10	-0.10	N/A
INPP5E	ENST00000371712.3	inositol polyphosphate-5-phosphatase, 72 kDa 	105	1	0	0	1	0	hsa-miR-16-2-3p				-0.10	-0.10	N/A
CEP19	ENST00000409690.3	centrosomal protein 19kDa 	5	1	0	1	0	0	hsa-miR-16-2-3p				-0.10	-0.10	N/A
MTF1	ENST00000373036.4	metal-regulatory transcription factor 1 	98	1	0	1	0	2	hsa-miR-195-3p				-0.10	-0.11	N/A
ADAM22	ENST00000398204.4	ADAM metallopeptidase domain 22 	115	1	0	0	1	1	hsa-miR-16-2-3p				-0.10	-0.26	N/A
ZNF83	ENST00000594682.2	zinc finger protein 83 	78	2	0	2	0	0	hsa-miR-16-2-3p				-0.10	-0.12	N/A
PCNX	ENST00000304743.2	pecanex homolog (Drosophila) 	458	2	1	1	0	2	hsa-miR-16-2-3p				-0.10	-0.21	N/A
GAPT	ENST00000396776.2	GRB2-binding adaptor protein, transmembrane 	5	1	0	0	1	0	hsa-miR-16-2-3p				-0.10	-0.10	N/A
TMEM19	ENST00000266673.5	transmembrane protein 19 	1378	2	0	0	2	1	hsa-miR-195-3p				-0.10	-0.12	N/A
KAL1	ENST00000262648.3	Kallmann syndrome 1 sequence 	11	2	0	1	1	3	hsa-miR-195-3p				-0.10	-0.15	N/A
TGFBR1	ENST00000374994.4	transforming growth factor, beta receptor 1 	249	2	1	0	1	2	hsa-miR-195-3p				-0.10	-0.11	N/A
HMGN1	ENST00000380749.5	high mobility group nucleosome binding domain 1 	375	1	0	0	1	0	hsa-miR-16-2-3p				-0.10	-0.10	N/A
CRY1	ENST00000008527.5	cryptochrome 1 (photolyase-like) 	336	1	0	0	1	0	hsa-miR-16-2-3p				-0.10	-0.10	N/A
TXK	ENST00000264316.4	TXK tyrosine kinase 	7	1	0	0	1	1	hsa-miR-195-3p				-0.10	-0.12	N/A
SUPT16H	ENST00000216297.2	suppressor of Ty 16 homolog (S. cerevisiae) 	528	1	0	1	0	0	hsa-miR-195-3p				-0.10	-0.10	N/A
FPGT	ENST00000370894.5	fucose-1-phosphate guanylyltransferase 	108	2	1	1	0	2	hsa-miR-16-2-3p				-0.10	-0.37	N/A
ZNF10	ENST00000248211.6	zinc finger protein 10 	96	2	0	2	0	0	hsa-miR-195-3p				-0.10	-0.12	N/A
UBE2D1	ENST00000373910.4	ubiquitin-conjugating enzyme E2D 1 	200	1	0	0	1	0	hsa-miR-16-2-3p				-0.10	-0.10	N/A
FBXL4	ENST00000369244.2	F-box and leucine-rich repeat protein 4 	321	2	0	1	1	0	hsa-miR-16-2-3p				-0.10	-0.19	N/A
RGS7BP	ENST00000334025.2	regulator of G-protein signaling 7 binding protein 	5	1	0	0	1	2	hsa-miR-195-3p				-0.10	-0.23	N/A
GXYLT2	ENST00000389617.4	glucoside xylosyltransferase 2 	207	2	0	0	2	0	hsa-miR-16-2-3p				-0.10	-0.19	N/A
LIN7C	ENST00000278193.2	lin-7 homolog C (C. elegans) 	1701	2	0	1	1	0	hsa-miR-16-2-3p				-0.10	-0.11	N/A
IYD	ENST00000344419.3	iodotyrosine deiodinase 	5	5	2	1	2	3	hsa-miR-16-2-3p				-0.10	-0.10	N/A
ZNF705D	ENST00000400085.3	zinc finger protein 705D 	5	1	1	0	0	0	hsa-miR-16-2-3p				-0.10	-0.10	N/A
SEMA4C	ENST00000305476.5	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4C 	31	1	0	0	1	0	hsa-miR-16-2-3p				-0.10	-0.10	N/A
XK	ENST00000378616.3	X-linked Kx blood group (McLeod syndrome) 	39	2	0	1	1	0	hsa-miR-16-2-3p				-0.10	-0.10	N/A
TMLHE	ENST00000334398.3	trimethyllysine hydroxylase, epsilon 	5	3	0	2	1	0	hsa-miR-16-2-3p				-0.10	-0.10	N/A
ANKS1B	ENST00000546960.1	ankyrin repeat and sterile alpha motif domain containing 1B 	21	1	0	0	1	2	hsa-miR-195-3p				-0.10	-0.10	N/A
PARM1	ENST00000513238.1	prostate androgen-regulated mucin-like protein 1 	161	2	1	0	1	2	hsa-miR-16-2-3p				-0.10	-0.15	N/A
TREM2	ENST00000373122.4	triggering receptor expressed on myeloid cells 2 	5	1	0	1	0	0	hsa-miR-195-3p				-0.10	-0.10	N/A
AZI2	ENST00000479665.1	5-azacytidine induced 2 	530	2	0	1	1	1	hsa-miR-16-2-3p				-0.10	-0.12	N/A
CTGF	ENST00000367976.3	connective tissue growth factor 	10083	1	0	1	0	1	hsa-miR-16-2-3p				-0.10	-0.10	N/A
CA2	ENST00000285379.5	carbonic anhydrase II 	181	1	0	1	0	0	hsa-miR-195-3p				-0.10	-0.23	N/A
BLOC1S2	ENST00000441611.1	biogenesis of lysosomal organelles complex-1, subunit 2 	83	1	0	1	0	0	hsa-miR-16-2-3p				-0.10	-0.13	N/A
SMAD5	ENST00000545279.1	SMAD family member 5 	225	1	0	0	1	5	hsa-miR-16-2-3p				-0.10	-0.13	N/A
TRPS1	ENST00000395715.3	trichorhinophalangeal syndrome I 	94	2	0	0	2	1	hsa-miR-195-3p				-0.10	-0.15	N/A
FAM135A	ENST00000418814.2	family with sequence similarity 135, member A 	611	1	0	1	0	0	hsa-miR-16-2-3p				-0.10	-0.10	N/A
COMMD3-BMI1	ENST00000602390.1	COMMD3-BMI1 readthrough 	195	4	0	3	1	2	hsa-miR-16-2-3p				-0.10	-0.10	N/A
RP11-160N1.10	ENST00000377548.2		5	1	0	1	0	0	hsa-miR-16-2-3p				-0.10	-0.10	N/A
RND3	ENST00000375734.2	Rho family GTPase 3 	574	1	0	1	0	0	hsa-miR-195-3p				-0.10	-0.12	N/A
CRYM	ENST00000543948.1	crystallin, mu 	13	1	0	1	0	0	hsa-miR-16-2-3p				-0.10	-0.10	N/A
MPZL3	ENST00000278949.4	myelin protein zero-like 3 	59	1	0	1	0	0	hsa-miR-16-2-3p				-0.10	-0.10	N/A
MCUR1	ENST00000379170.4	mitochondrial calcium uniporter regulator 1 	129	1	0	0	1	0	hsa-miR-16-2-3p				-0.10	-0.10	N/A
CREG2	ENST00000324768.5	cellular repressor of E1A-stimulated genes 2 	38	3	0	2	1	1	hsa-miR-16-2-3p				-0.10	-0.15	N/A
CCDC126	ENST00000307471.3	coiled-coil domain containing 126 	846	1	0	1	0	2	hsa-miR-16-2-3p				-0.10	-0.11	N/A
ZNF746	ENST00000340622.3	zinc finger protein 746 	54	1	1	0	0	0	hsa-miR-195-3p				-0.10	-0.21	N/A
CCDC90B	ENST00000529689.1	coiled-coil domain containing 90B 	173	2	1	0	1	0	hsa-miR-16-2-3p				-0.10	-0.22	N/A
CDC40	ENST00000368932.1	cell division cycle 40 	741	1	0	1	0	0	hsa-miR-16-2-3p				-0.10	-0.10	N/A
LYPD6	ENST00000334166.4	LY6/PLAUR domain containing 6 	261	2	0	2	0	2	hsa-miR-195-3p				-0.10	-0.10	N/A
OPN5	ENST00000489301.2	opsin 5 	5	1	0	1	0	0	hsa-miR-16-2-3p				-0.10	-0.10	N/A
HIF1A	ENST00000323441.6	hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor) 	1955	1	0	1	0	0	hsa-miR-16-2-3p				-0.10	-0.10	N/A
TAS2R13	ENST00000390677.2	taste receptor, type 2, member 13 	5	1	0	1	0	0	hsa-miR-16-2-3p				-0.10	-0.10	N/A
DLAT	ENST00000280346.6	dihydrolipoamide S-acetyltransferase 	1073	2	0	2	0	0	hsa-miR-195-3p				-0.10	-0.12	N/A
SLC39A9	ENST00000031146.4	solute carrier family 39, member 9 	824	1	0	1	0	1	hsa-miR-16-2-3p				-0.10	-0.11	N/A
BAG2	ENST00000370693.5	BCL2-associated athanogene 2 	2237	2	0	1	1	4	hsa-miR-195-3p				-0.10	-0.51	N/A
ERBB4	ENST00000342788.4	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4 	27	4	0	3	1	0	hsa-miR-195-3p				-0.10	-0.11	N/A
SLC9A2	ENST00000233969.2	solute carrier family 9, subfamily A (NHE2, cation proton antiporter 2), member 2 	27	1	0	1	0	1	hsa-miR-195-3p				-0.10	-0.12	N/A
NR4A1	ENST00000394824.2	nuclear receptor subfamily 4, group A, member 1 	7896	1	0	0	1	0	hsa-miR-16-2-3p				-0.10	-0.10	N/A
AMOTL2	ENST00000249883.5	angiomotin like 2 	78	1	0	1	0	2	hsa-miR-16-2-3p				-0.10	-0.10	N/A
AC012360.2	ENST00000595531.1	LOC644617 protein; Uncharacterized protein  	430	1	0	1	0	0	hsa-miR-16-2-3p				-0.10	-0.10	N/A
INPP5A	ENST00000368594.3	inositol polyphosphate-5-phosphatase, 40kDa 	243	1	0	1	0	0	hsa-miR-16-2-3p				-0.10	-0.10	N/A
AC012215.1	ENST00000437887.1	Uncharacterized protein  	31	1	1	0	0	1	hsa-miR-195-3p				-0.10	-0.10	N/A
B4GALT6	ENST00000306851.5	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 6 	146	1	1	0	0	3	hsa-miR-195-3p				-0.10	-0.11	N/A
CENPN	ENST00000305850.5	centromere protein N 	532	1	0	0	1	1	hsa-miR-195-3p				-0.10	-0.11	N/A
SKAP2	ENST00000345317.2	src kinase associated phosphoprotein 2 	1085	1	1	0	0	0	hsa-miR-195-3p				-0.10	-0.10	N/A
PRLR	ENST00000342362.5	prolactin receptor 	95	8	1	2	5	4	hsa-miR-16-2-3p				-0.10	-0.14	N/A
HSD17B12	ENST00000278353.4	hydroxysteroid (17-beta) dehydrogenase 12 	1422	3	2	1	0	3	hsa-miR-16-2-3p				-0.10	-0.12	N/A
BMPR2	ENST00000374574.2	bone morphogenetic protein receptor, type II (serine/threonine kinase) 	287	1	0	1	0	3	hsa-miR-16-2-3p				-0.10	-0.38	N/A
MTHFD2L	ENST00000433372.1	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2-like 	27	1	0	1	0	0	hsa-miR-16-2-3p				-0.10	-0.10	N/A
AKAP7	ENST00000431975.2	A kinase (PRKA) anchor protein 7 	21	1	1	0	0	2	hsa-miR-16-2-3p				-0.10	-0.10	N/A
ZSCAN30	ENST00000333206.5	zinc finger and SCAN domain containing 30 	274	1	1	0	0	0	hsa-miR-16-2-3p				-0.10	-0.10	N/A
PCDH19	ENST00000420881.2	protocadherin 19 	7	2	0	1	1	2	hsa-miR-16-2-3p				-0.10	-0.10	N/A
DPPA4	ENST00000335658.6	developmental pluripotency associated 4 	5	1	0	0	1	0	hsa-miR-195-3p				-0.10	-0.10	N/A
RP11-215A19.2	ENST00000509111.1		5	1	0	1	0	0	hsa-miR-16-2-3p				-0.10	-0.10	N/A
KCNMB1	ENST00000274629.4	potassium large conductance calcium-activated channel, subfamily M, beta member 1 	5	1	0	1	0	0	hsa-miR-16-2-3p				-0.10	-0.10	N/A
SCAMP1	ENST00000538629.1	secretory carrier membrane protein 1 	816	2	0	1	1	1	hsa-miR-16-2-3p				-0.10	-0.19	N/A
ITPR2	ENST00000381340.3	inositol 1,4,5-trisphosphate receptor, type 2 	334	3	1	1	1	1	hsa-miR-195-3p				-0.10	-0.12	N/A
PDE10A	ENST00000366882.1	phosphodiesterase 10A 	371	5	1	4	0	2	hsa-miR-16-2-3p				-0.10	-0.14	N/A
GEN1	ENST00000381254.2	GEN1 Holliday junction 5' flap endonuclease 	161	2	1	1	0	0	hsa-miR-16-2-3p				-0.10	-0.11	N/A
MYEF2	ENST00000324324.7	myelin expression factor 2 	358	1	0	1	0	1	hsa-miR-16-2-3p				-0.10	-0.10	N/A
DIO2	ENST00000438257.4	deiodinase, iodothyronine, type II 	98	1	0	0	1	3	hsa-miR-16-2-3p				-0.10	-0.14	N/A
PUS7L	ENST00000416848.2	pseudouridylate synthase 7 homolog (S. cerevisiae)-like 	67	1	0	0	1	2	hsa-miR-16-2-3p				-0.10	-0.20	N/A
ZSWIM7	ENST00000486655.1	zinc finger, SWIM-type containing 7 	656	2	0	2	0	0	hsa-miR-16-2-3p				-0.10	-0.21	N/A
PICALM	ENST00000532317.1	phosphatidylinositol binding clathrin assembly protein 	1173	2	0	2	0	1	hsa-miR-195-3p				-0.10	-0.13	N/A
BNIP2	ENST00000267859.3	BCL2/adenovirus E1B 19kDa interacting protein 2 	1255	2	1	0	1	3	hsa-miR-16-2-3p				-0.10	-0.17	N/A
VSIG1	ENST00000415430.3	V-set and immunoglobulin domain containing 1 	5	1	0	0	1	0	hsa-miR-16-2-3p				-0.10	-0.10	N/A
DGKB	ENST00000403951.2	diacylglycerol kinase, beta 90kDa 	5	4	2	1	1	0	hsa-miR-16-2-3p				-0.10	-0.10	N/A
C12orf66	ENST00000544871.1	chromosome 12 open reading frame 66 	98	1	1	0	0	0	hsa-miR-16-2-3p				-0.10	-0.14	N/A
DLEU7	ENST00000504404.1	deleted in lymphocytic leukemia, 7 	5	1	0	0	1	0	hsa-miR-16-2-3p				-0.10	-0.10	N/A
HOXA5	ENST00000222726.3	homeobox A5 	63	1	0	1	0	0	hsa-miR-16-2-3p				-0.10	-0.10	N/A
KLF5	ENST00000377687.4	Kruppel-like factor 5 (intestinal) 	161	1	0	1	0	0	hsa-miR-16-2-3p				-0.10	-0.10	N/A
NALCN	ENST00000251127.6	sodium leak channel, non-selective 	5	1	0	1	0	0	hsa-miR-16-2-3p				-0.10	-0.10	N/A
SERPINB5	ENST00000382771.4	serpin peptidase inhibitor, clade B (ovalbumin), member 5 	295	1	1	0	0	0	hsa-miR-16-2-3p				-0.09	-0.24	N/A
CCBE1	ENST00000439986.4	collagen and calcium binding EGF domains 1 	54	2	0	1	1	0	hsa-miR-16-2-3p				-0.09	-0.13	N/A
ARPP19	ENST00000566423.1	cAMP-regulated phosphoprotein, 19kDa 	1316	2	1	1	0	0	hsa-miR-16-2-3p				-0.09	-0.33	N/A
DOPEY1	ENST00000349129.2	dopey family member 1 	17	1	0	1	0	0	hsa-miR-16-2-3p				-0.09	-0.11	N/A
AGGF1	ENST00000312916.7	angiogenic factor with G patch and FHA domains 1 	890	1	0	0	1	2	hsa-miR-195-3p				-0.09	-0.10	N/A
CTSO	ENST00000433477.3	cathepsin O 	5	3	1	1	1	1	hsa-miR-16-2-3p				-0.09	-0.14	N/A
CMTM6	ENST00000205636.3	CKLF-like MARVEL transmembrane domain containing 6 	169	1	0	1	0	0	hsa-miR-16-2-3p				-0.09	-0.09	N/A
LIN52	ENST00000555028.1	lin-52 homolog (C. elegans) 	116	1	0	0	1	1	hsa-miR-16-2-3p				-0.09	-0.09	N/A
NAALADL2	ENST00000454872.1	N-acetylated alpha-linked acidic dipeptidase-like 2 	5	1	0	0	1	0	hsa-miR-16-2-3p				-0.09	-0.09	N/A
CYP27B1	ENST00000228606.4	cytochrome P450, family 27, subfamily B, polypeptide 1 	11	1	0	0	1	0	hsa-miR-16-2-3p				-0.09	-0.09	N/A
FAM49B	ENST00000519824.2	family with sequence similarity 49, member B 	52	1	0	1	0	0	hsa-miR-16-2-3p				-0.09	-0.09	N/A
NSL1	ENST00000422588.2	NSL1, MIS12 kinetochore complex component 	180	4	1	2	1	5	hsa-miR-195-3p				-0.09	-0.28	N/A
ATP2C1	ENST00000505330.1	ATPase, Ca++ transporting, type 2C, member 1 	771	2	0	2	0	0	hsa-miR-16-2-3p				-0.09	-0.14	N/A
GABARAPL2	ENST00000563744.1	GABA(A) receptor-associated protein-like 2 	938	1	0	0	1	1	hsa-miR-195-3p				-0.09	-0.10	N/A
FABP7	ENST00000356535.4	fatty acid binding protein 7, brain 	5	1	0	0	1	0	hsa-miR-16-2-3p				-0.09	-0.09	N/A
CSN1S1	ENST00000246891.4	casein alpha s1 	5	1	0	0	1	0	hsa-miR-16-2-3p				-0.09	-0.09	N/A
KLHL1	ENST00000377844.4	kelch-like family member 1 	40	1	0	0	1	1	hsa-miR-195-3p				-0.09	-0.09	N/A
GPR151	ENST00000311104.2	G protein-coupled receptor 151 	5	2	0	2	0	0	hsa-miR-16-2-3p				-0.09	-0.09	N/A
