Target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
CASP2	ENST00000310447.5	caspase 2, apoptosis-related cysteine peptidase 	274	1	1	0	0	1	hsa-miR-103a-2-5p				-0.12	-0.13	N/A
FPGT	ENST00000370894.5	fucose-1-phosphate guanylyltransferase 	108	1	1	0	0	0	hsa-miR-103a-2-5p				-0.12	-0.25	N/A
WHSC1L1	ENST00000317025.8	Wolf-Hirschhorn syndrome candidate 1-like 1 	481	1	0	0	1	1	hsa-miR-103a-2-5p				-0.12	-0.14	N/A
PSMA2	ENST00000223321.4	proteasome (prosome, macropain) subunit, alpha type, 2 	2547	1	1	0	0	0	hsa-miR-103a-2-5p				-0.12	-0.47	N/A
KCNK16	ENST00000425054.2	potassium channel, subfamily K, member 16 	5	1	0	0	1	0	hsa-miR-103a-2-5p				-0.12	-0.12	N/A
CD48	ENST00000368046.3	CD48 molecule 	5	1	0	0	1	0	hsa-miR-103a-2-5p				-0.12	-0.12	N/A
C3orf17	ENST00000314400.5	chromosome 3 open reading frame 17 	460	1	0	0	1	0	hsa-miR-103a-2-5p				-0.12	-0.12	N/A
CAMK2D	ENST00000296402.5	calcium/calmodulin-dependent protein kinase II delta 	938	2	0	0	2	2	hsa-miR-103a-2-5p				-0.12	-0.12	N/A
A4GALT	ENST00000401850.1	alpha 1,4-galactosyltransferase 	21	1	0	0	1	0	hsa-miR-103a-2-5p				-0.12	-0.12	N/A
PDE5A	ENST00000354960.3	phosphodiesterase 5A, cGMP-specific 	69	1	0	0	1	0	hsa-miR-103a-2-5p				-0.12	-0.12	N/A
TRIM10	ENST00000449742.2	tripartite motif containing 10 	7	1	1	0	0	1	hsa-miR-103a-2-5p				-0.12	-0.12	N/A
LL22NC03-63E9.3	ENST00000407120.1	Uncharacterized protein  	5	1	0	0	1	0	hsa-miR-103a-2-5p				-0.12	-0.12	N/A
SIX6	ENST00000327720.5	SIX homeobox 6 	5	1	0	0	1	2	hsa-miR-103a-2-5p				-0.12	-0.12	N/A
PLEKHH3	ENST00000591022.1	pleckstrin homology domain containing, family H (with MyTH4 domain) member 3 	5	1	0	0	1	0	hsa-miR-103a-2-5p				-0.12	-0.12	N/A
GLCE	ENST00000559420.2	glucuronic acid epimerase 	25	2	0	0	2	0	hsa-miR-103a-2-5p				-0.12	-0.21	N/A
FYCO1	ENST00000296137.2	FYVE and coiled-coil domain containing 1 	91	1	0	0	1	1	hsa-miR-103a-2-5p				-0.12	-0.13	N/A
ZNF148	ENST00000360647.4	zinc finger protein 148 	230	2	1	0	1	0	hsa-miR-103a-2-5p				-0.12	-0.13	N/A
AMMECR1	ENST00000262844.5	Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region gene 1 	5	2	0	2	0	0	hsa-miR-103a-2-5p				-0.12	-0.12	N/A
KIAA2022	ENST00000055682.6	KIAA2022 	5	2	0	0	2	1	hsa-miR-103a-2-5p				-0.12	-0.12	N/A
ULBP1	ENST00000229708.3	UL16 binding protein 1 	16	1	0	1	0	0	hsa-miR-103a-2-5p				-0.12	-0.12	N/A
AC009365.3	ENST00000332558.4		5	1	0	0	1	0	hsa-miR-103a-2-5p				-0.12	-0.12	N/A
RBM48	ENST00000481551.1	RNA binding motif protein 48 	220	1	0	0	1	0	hsa-miR-103a-2-5p				-0.12	-0.12	N/A
HCG27	ENST00000383331.4	HLA complex group 27 (non-protein coding) 	5	1	0	0	1	0	hsa-miR-103a-2-5p				-0.12	-0.12	N/A
UGT3A1	ENST00000274278.3	UDP glycosyltransferase 3 family, polypeptide A1 	90	2	0	0	2	0	hsa-miR-103a-2-5p				-0.12	-0.21	N/A
ABL2	ENST00000502732.1	c-abl oncogene 2, non-receptor tyrosine kinase 	892	2	1	0	1	2	hsa-miR-103a-2-5p				-0.12	-0.12	N/A
SPATA33	ENST00000301031.4	spermatogenesis associated 33 	185	1	0	1	0	7	hsa-miR-103a-2-5p				-0.12	-0.13	N/A
CENPM	ENST00000404067.1	centromere protein M 	68	2	0	1	1	1	hsa-miR-103a-2-5p				-0.12	-0.22	N/A
CRK	ENST00000398970.5	v-crk avian sarcoma virus CT10 oncogene homolog 	1841	1	0	0	1	0	hsa-miR-103a-2-5p				-0.12	-0.12	N/A
DHFR	ENST00000511032.1	dihydrofolate reductase 	5	2	0	1	1	0	hsa-miR-103a-2-5p				-0.12	-0.22	N/A
TENM1	ENST00000371130.3	teneurin transmembrane protein 1 	5	4	0	0	4	0	hsa-miR-103a-2-5p				-0.12	-0.12	N/A
OTX2	ENST00000339475.5	orthodenticle homeobox 2 	5	1	0	0	1	0	hsa-miR-103a-2-5p				-0.12	-0.12	N/A
AMHR2	ENST00000550311.1	anti-Mullerian hormone receptor, type II 	179	1	0	0	1	0	hsa-miR-103a-2-5p				-0.12	-0.12	N/A
PPFIA4	ENST00000447715.2	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 4 	21	1	1	0	0	0	hsa-miR-103a-2-5p				-0.12	-0.12	N/A
PTK2B	ENST00000397501.1	protein tyrosine kinase 2 beta 	163	1	1	0	0	1	hsa-miR-103a-2-5p				-0.12	-0.12	N/A
UBE2Z	ENST00000360943.5	ubiquitin-conjugating enzyme E2Z 	3688	1	0	1	0	0	hsa-miR-103a-2-5p				-0.12	-0.12	N/A
ULBP3	ENST00000367339.2	UL16 binding protein 3 	64	1	0	1	0	0	hsa-miR-103a-2-5p				-0.12	-0.12	N/A
RAD9B	ENST00000409425.1	RAD9 homolog B (S. pombe) 	10	1	1	0	0	0	hsa-miR-103a-2-5p				-0.12	-0.25	N/A
RHBDD1	ENST00000341329.3	rhomboid domain containing 1 	667	1	0	0	1	1	hsa-miR-103a-2-5p				-0.12	-0.20	N/A
ZMAT2	ENST00000274712.3	zinc finger, matrin-type 2 	1926	2	0	1	1	1	hsa-miR-103a-2-5p				-0.12	-0.30	N/A
GOSR1	ENST00000225724.5	golgi SNAP receptor complex member 1 	668	2	0	2	0	0	hsa-miR-103a-2-5p				-0.12	-0.19	N/A
FAM71F2	ENST00000480462.1	family with sequence similarity 71, member F2 	7	1	0	0	1	2	hsa-miR-103a-2-5p				-0.12	-0.14	N/A
ZNF846	ENST00000586293.1	zinc finger protein 846 	10	1	0	1	0	3	hsa-miR-103a-2-5p				-0.12	-0.26	N/A
CCP110	ENST00000381396.5	centriolar coiled coil protein 110kDa 	226	1	0	0	1	0	hsa-miR-103a-2-5p				-0.12	-0.12	N/A
TSC22D3	ENST00000372390.4	TSC22 domain family, member 3 	154	1	0	1	0	0	hsa-miR-103a-2-5p				-0.12	-0.12	N/A
GTF2H2C	ENST00000510979.1	general transcription factor IIH, polypeptide 2C 	5	1	0	1	0	0	hsa-miR-103a-2-5p				-0.12	-0.12	N/A
RBMS1	ENST00000348849.3	RNA binding motif, single stranded interacting protein 1 	90	1	0	0	1	0	hsa-miR-103a-2-5p				-0.12	-0.12	N/A
UCP3	ENST00000314032.4	uncoupling protein 3 (mitochondrial, proton carrier) 	10	1	0	1	0	1	hsa-miR-103a-2-5p				-0.12	-0.12	N/A
FBXO31	ENST00000311635.7	F-box protein 31 	48	3	0	1	2	0	hsa-miR-103a-2-5p				-0.12	-0.12	N/A
AKAP7	ENST00000431975.2	A kinase (PRKA) anchor protein 7 	21	1	0	1	0	0	hsa-miR-103a-2-5p				-0.12	-0.12	N/A
FLT1	ENST00000282397.4	fms-related tyrosine kinase 1 	7	1	0	0	1	1	hsa-miR-103a-2-5p				-0.12	-0.12	N/A
C19orf25	ENST00000588849.1	chromosome 19 open reading frame 25 	498	1	0	0	1	0	hsa-miR-103a-2-5p				-0.12	-0.12	N/A
POLR2F	ENST00000442738.2	polymerase (RNA) II (DNA directed) polypeptide F 	134	1	1	0	0	0	hsa-miR-103a-2-5p				-0.12	-0.28	N/A
GPATCH8	ENST00000591680.1	G patch domain containing 8 	337	1	0	0	1	1	hsa-miR-103a-2-5p				-0.12	-0.13	N/A
NF2	ENST00000347330.5	neurofibromin 2 (merlin) 	828	1	0	0	1	3	hsa-miR-103a-2-5p				-0.12	-0.14	N/A
CLOCK	ENST00000309964.4	clock circadian regulator 	86	2	1	1	0	1	hsa-miR-103a-2-5p				-0.12	-0.12	N/A
SDR42E1	ENST00000328945.5	short chain dehydrogenase/reductase family 42E, member 1 	164	1	0	0	1	1	hsa-miR-103a-2-5p				-0.12	-0.15	N/A
KPNA1	ENST00000344337.6	karyopherin alpha 1 (importin alpha 5) 	1030	1	0	0	1	0	hsa-miR-103a-2-5p				-0.12	-0.15	N/A
NDST1	ENST00000261797.6	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 1 	13660	1	0	1	0	1	hsa-miR-103a-2-5p				-0.12	-0.12	N/A
TBC1D5	ENST00000253692.7	TBC1 domain family, member 5 	400	1	0	0	1	0	hsa-miR-103a-2-5p				-0.12	-0.12	N/A
HLTF	ENST00000465259.1	helicase-like transcription factor 	127	1	0	1	0	1	hsa-miR-103a-2-5p				-0.12	-0.12	N/A
KIAA1598	ENST00000260777.10	KIAA1598 	94	1	0	1	0	1	hsa-miR-103a-2-5p				-0.12	-0.12	N/A
CCL28	ENST00000361115.4	chemokine (C-C motif) ligand 28 	5	1	0	1	0	0	hsa-miR-103a-2-5p				-0.12	-0.12	N/A
GNA14	ENST00000341700.6	guanine nucleotide binding protein (G protein), alpha 14 	5	1	0	1	0	0	hsa-miR-103a-2-5p				-0.12	-0.12	N/A
CCDC137	ENST00000329214.8	coiled-coil domain containing 137 	5	1	0	0	1	1	hsa-miR-103a-2-5p				-0.12	-0.12	N/A
SV2C	ENST00000502798.2	synaptic vesicle glycoprotein 2C 	30	1	0	0	1	2	hsa-miR-103a-2-5p				-0.12	-0.12	N/A
ARHGAP18	ENST00000368149.2	Rho GTPase activating protein 18 	176	1	0	0	1	2	hsa-miR-103a-2-5p				-0.12	-0.23	N/A
EIF2AK4	ENST00000382727.2	eukaryotic translation initiation factor 2 alpha kinase 4 	805	1	0	1	0	0	hsa-miR-103a-2-5p				-0.12	-0.12	N/A
HTRA1	ENST00000368984.3	HtrA serine peptidase 1 	1012	2	0	1	1	2	hsa-miR-103a-2-5p				-0.12	-0.16	N/A
C9orf156	ENST00000375119.3	chromosome 9 open reading frame 156 	177	3	0	1	2	0	hsa-miR-103a-2-5p				-0.12	-0.33	N/A
ZNF786	ENST00000316286.9	zinc finger protein 786 	203	2	0	1	1	0	hsa-miR-103a-2-5p				-0.12	-0.14	N/A
CNKSR3	ENST00000607772.1	CNKSR family member 3 	567	4	0	2	2	2	hsa-miR-103a-2-5p				-0.12	-0.41	N/A
SPCS2	ENST00000263672.6	signal peptidase complex subunit 2 homolog (S. cerevisiae) 	28	1	0	1	0	0	hsa-miR-103a-2-5p				-0.12	-0.12	N/A
TDGF1	ENST00000296145.5	teratocarcinoma-derived growth factor 1 	5	1	0	0	1	0	hsa-miR-103a-2-5p				-0.12	-0.12	N/A
TAF1C	ENST00000341690.6	TATA box binding protein (TBP)-associated factor, RNA polymerase I, C, 110kDa 	73	1	0	0	1	0	hsa-miR-103a-2-5p				-0.12	-0.12	N/A
FAF2	ENST00000261942.6	Fas associated factor family member 2 	1700	1	0	0	1	1	hsa-miR-103a-2-5p				-0.12	-0.12	N/A
PET117	ENST00000432901.3	PET117 homolog (S. cerevisiae) 	120	1	0	0	1	1	hsa-miR-103a-2-5p				-0.12	-0.12	N/A
COG3	ENST00000349995.5	component of oligomeric golgi complex 3 	53	1	0	0	1	0	hsa-miR-103a-2-5p				-0.12	-0.12	N/A
TUB	ENST00000305253.4	tubby bipartite transcription factor 	743	3	0	0	3	1	hsa-miR-103a-2-5p				-0.12	-0.12	N/A
KCNJ1	ENST00000392665.2	potassium inwardly-rectifying channel, subfamily J, member 1 	9	1	0	0	1	0	hsa-miR-103a-2-5p				-0.12	-0.12	N/A
TNFRSF8	ENST00000263932.2	tumor necrosis factor receptor superfamily, member 8 	5	2	1	1	0	1	hsa-miR-103a-2-5p				-0.12	-0.12	N/A
COTL1	ENST00000262428.4	coactosin-like 1 (Dictyostelium) 	6558	1	0	1	0	0	hsa-miR-103a-2-5p				-0.12	-0.12	N/A
AASDHPPT	ENST00000278618.4	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase 	317	1	0	1	0	0	hsa-miR-103a-2-5p				-0.12	-0.12	N/A
ATP6V1A	ENST00000273398.3	ATPase, H+ transporting, lysosomal 70kDa, V1 subunit A 	180	1	1	0	0	0	hsa-miR-103a-2-5p				-0.12	-0.14	N/A
BMP3	ENST00000282701.2	bone morphogenetic protein 3 	36	2	0	1	1	2	hsa-miR-103a-2-5p				-0.12	-0.16	N/A
SRSF1	ENST00000258962.4	serine/arginine-rich splicing factor 1 	1430	1	1	0	0	0	hsa-miR-103a-2-5p				-0.12	-0.26	N/A
FAM151B	ENST00000282226.4	family with sequence similarity 151, member B 	35	1	0	0	1	0	hsa-miR-103a-2-5p				-0.12	-0.15	N/A
CCDC140	ENST00000295226.1	coiled-coil domain containing 140 	5	1	0	0	1	0	hsa-miR-103a-2-5p				-0.12	-0.12	N/A
SGK2	ENST00000373100.1	serum/glucocorticoid regulated kinase 2 	26	1	0	0	1	0	hsa-miR-103a-2-5p				-0.12	-0.12	N/A
IL3	ENST00000296870.2	interleukin 3 (colony-stimulating factor, multiple) 	5	1	0	0	1	0	hsa-miR-103a-2-5p				-0.12	-0.12	N/A
CTD-2162K18.4	ENST00000590750.1	Uncharacterized protein  	51	1	0	0	1	0	hsa-miR-103a-2-5p				-0.12	-0.12	N/A
CLEC18B	ENST00000339953.5	C-type lectin domain family 18, member B 	5	1	0	1	0	0	hsa-miR-103a-2-5p				-0.12	-0.12	N/A
CCDC83	ENST00000280245.4	coiled-coil domain containing 83 	5	1	0	0	1	0	hsa-miR-103a-2-5p				-0.12	-0.12	N/A
FRZB	ENST00000295113.4	frizzled-related protein 	43	1	0	0	1	0	hsa-miR-103a-2-5p				-0.12	-0.12	N/A
VWC2	ENST00000340652.4	von Willebrand factor C domain containing 2 	5	1	0	0	1	0	hsa-miR-103a-2-5p				-0.12	-0.12	N/A
SLC19A2	ENST00000236137.5	solute carrier family 19 (thiamine transporter), member 2 	229	1	0	0	1	1	hsa-miR-103a-2-5p				-0.12	-0.12	N/A
AC004466.1	ENST00000599515.1	Uncharacterized protein  	5	1	0	0	1	0	hsa-miR-103a-2-5p				-0.12	-0.12	N/A
CLEC18C	ENST00000541793.2	C-type lectin domain family 18, member C 	5	1	0	1	0	0	hsa-miR-103a-2-5p				-0.12	-0.12	N/A
FAM46A	ENST00000369754.3	family with sequence similarity 46, member A 	899	1	0	0	1	0	hsa-miR-103a-2-5p				-0.12	-0.12	N/A
RASSF7	ENST00000397582.3	Ras association (RalGDS/AF-6) domain family (N-terminal) member 7 	147	1	0	0	1	0	hsa-miR-103a-2-5p				-0.12	-0.12	N/A
DPH3	ENST00000488423.1	diphthamide biosynthesis 3 	1281	2	1	0	1	0	hsa-miR-103a-2-5p				-0.11	-0.57	N/A
PRICKLE1	ENST00000455697.1	prickle homolog 1 (Drosophila) 	146	1	1	0	0	1	hsa-miR-103a-2-5p				-0.11	-0.36	N/A
MAGI3	ENST00000307546.9	membrane associated guanylate kinase, WW and PDZ domain containing 3 	70	1	1	0	0	0	hsa-miR-103a-2-5p				-0.11	-0.25	N/A
PRTN3	ENST00000234347.5	proteinase 3 	5	1	0	0	1	0	hsa-miR-103a-2-5p				-0.11	-0.11	N/A
AHCYL1	ENST00000369799.5	adenosylhomocysteinase-like 1 	1279	1	0	0	1	0	hsa-miR-103a-2-5p				-0.11	-0.11	N/A
XXbac-BPG32J3.20	ENST00000461287.1		1251	1	0	1	0	1	hsa-miR-103a-2-5p				-0.11	-0.11	N/A
NXNL2	ENST00000375854.3	nucleoredoxin-like 2 	198	1	0	0	1	0	hsa-miR-103a-2-5p				-0.11	-0.11	N/A
GSX2	ENST00000503800.1	GS homeobox 2 	5	1	0	0	1	0	hsa-miR-103a-2-5p				-0.11	-0.11	N/A
FLI1	ENST00000527786.2	Fli-1 proto-oncogene, ETS transcription factor 	116	1	0	1	0	0	hsa-miR-103a-2-5p				-0.11	-0.11	N/A
MAP6D1	ENST00000318631.3	MAP6 domain containing 1 	45	1	0	1	0	1	hsa-miR-103a-2-5p				-0.11	-0.11	N/A
NANOS2	ENST00000341294.2	nanos homolog 2 (Drosophila) 	5	1	0	0	1	0	hsa-miR-103a-2-5p				-0.11	-0.11	N/A
LIMK2	ENST00000331728.4	LIM domain kinase 2 	233	1	0	0	1	0	hsa-miR-103a-2-5p				-0.11	-0.11	N/A
PALM	ENST00000338448.5	paralemmin 	341	1	0	0	1	0	hsa-miR-103a-2-5p				-0.11	-0.11	N/A
ST8SIA6	ENST00000377602.4	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 6 	12	1	0	0	1	0	hsa-miR-103a-2-5p				-0.11	-0.11	N/A
C10orf25	ENST00000298298.1	chromosome 10 open reading frame 25 	29	1	0	1	0	1	hsa-miR-103a-2-5p				-0.11	-0.12	N/A
FAM196B	ENST00000377365.3	family with sequence similarity 196, member B 	174	1	0	1	0	0	hsa-miR-103a-2-5p				-0.11	-0.12	N/A
SLC12A2	ENST00000262461.2	solute carrier family 12 (sodium/potassium/chloride transporter), member 2 	655	1	0	1	0	0	hsa-miR-103a-2-5p				-0.11	-0.12	N/A
TRIM25	ENST00000316881.4	tripartite motif containing 25 	247	1	1	0	0	1	hsa-miR-103a-2-5p				-0.11	-0.12	N/A
ZNF285	ENST00000330997.4	zinc finger protein 285 	31	2	0	1	1	1	hsa-miR-103a-2-5p				-0.11	-0.19	N/A
HOXB4	ENST00000332503.5	homeobox B4 	214	1	0	0	1	1	hsa-miR-103a-2-5p				-0.11	-0.11	N/A
NOL4	ENST00000261592.5	nucleolar protein 4 	12	1	0	1	0	1	hsa-miR-103a-2-5p				-0.11	-0.11	N/A
ERG	ENST00000398905.1	v-ets avian erythroblastosis virus E26 oncogene homolog 	184	1	0	0	1	0	hsa-miR-103a-2-5p				-0.11	-0.11	N/A
MPP6	ENST00000222644.5	membrane protein, palmitoylated 6 (MAGUK p55 subfamily member 6) 	389	1	0	0	1	1	hsa-miR-103a-2-5p				-0.11	-0.25	N/A
WBP2NL	ENST00000328823.9	WBP2 N-terminal like 	5	1	0	0	1	0	hsa-miR-103a-2-5p				-0.11	-0.11	N/A
LRRC20	ENST00000355790.4	leucine rich repeat containing 20 	159	1	0	0	1	0	hsa-miR-103a-2-5p				-0.11	-0.11	N/A
AC011294.3	ENST00000451905.1	Uncharacterized protein  	5	1	0	0	1	0	hsa-miR-103a-2-5p				-0.11	-0.11	N/A
SLC14A2	ENST00000255226.6	solute carrier family 14 (urea transporter), member 2 	5	1	0	1	0	0	hsa-miR-103a-2-5p				-0.11	-0.11	N/A
SCN2A	ENST00000375437.2	sodium channel, voltage-gated, type II, alpha subunit 	7	2	1	1	0	0	hsa-miR-103a-2-5p				-0.11	-0.11	N/A
LRRC58	ENST00000295628.3	leucine rich repeat containing 58 	940	1	0	1	0	2	hsa-miR-103a-2-5p				-0.11	-0.11	N/A
PCP4L1	ENST00000504449.1	Purkinje cell protein 4 like 1 	23	2	0	0	2	0	hsa-miR-103a-2-5p				-0.11	-0.12	N/A
IGF2BP1	ENST00000290341.3	insulin-like growth factor 2 mRNA binding protein 1 	460	2	0	1	1	4	hsa-miR-103a-2-5p				-0.11	-0.14	N/A
NPTX1	ENST00000306773.4	neuronal pentraxin I 	1876	2	1	1	0	1	hsa-miR-103a-2-5p				-0.11	-0.12	N/A
FHL5	ENST00000541107.1	four and a half LIM domains 5 	5	3	1	1	1	0	hsa-miR-103a-2-5p				-0.11	-0.30	N/A
ADORA2A	ENST00000337539.7	adenosine A2a receptor 	337	1	0	0	1	0	hsa-miR-103a-2-5p				-0.11	-0.11	N/A
SARS2	ENST00000221431.6	seryl-tRNA synthetase 2, mitochondrial 	700	1	0	0	1	0	hsa-miR-103a-2-5p				-0.11	-0.11	N/A
SLC37A3	ENST00000447932.2	solute carrier family 37, member 3 	86	1	0	0	1	1	hsa-miR-103a-2-5p				-0.11	-0.11	N/A
LHFPL2	ENST00000515007.2	lipoma HMGIC fusion partner-like 2 	16	1	0	1	0	0	hsa-miR-103a-2-5p				-0.11	-0.11	N/A
SERINC4	ENST00000299969.6	serine incorporator 4 	9	1	0	1	0	0	hsa-miR-103a-2-5p				-0.11	-0.11	N/A
CRYZ	ENST00000370872.3	crystallin, zeta (quinone reductase) 	317	1	0	0	1	0	hsa-miR-103a-2-5p				-0.11	-0.11	N/A
SNX22	ENST00000325881.4	sorting nexin 22 	5	1	0	0	1	0	hsa-miR-103a-2-5p				-0.11	-0.11	N/A
CCDC28A	ENST00000332797.6	coiled-coil domain containing 28A 	543	1	0	0	1	0	hsa-miR-103a-2-5p				-0.11	-0.11	N/A
SLC36A4	ENST00000326402.4	solute carrier family 36 (proton/amino acid symporter), member 4 	252	2	0	2	0	1	hsa-miR-103a-2-5p				-0.11	-0.18	N/A
PDE3A	ENST00000359062.3	phosphodiesterase 3A, cGMP-inhibited 	1182	2	1	1	0	0	hsa-miR-103a-2-5p				-0.11	-0.19	N/A
IGF1	ENST00000337514.6	insulin-like growth factor 1 (somatomedin C) 	19	1	1	0	0	1	hsa-miR-103a-2-5p				-0.11	-0.26	N/A
TMEM57	ENST00000399766.3	transmembrane protein 57 	459	1	0	1	0	0	hsa-miR-103a-2-5p				-0.11	-0.17	N/A
TRAPPC6B	ENST00000330149.5	trafficking protein particle complex 6B 	69	1	0	0	1	0	hsa-miR-103a-2-5p				-0.11	-0.17	N/A
HRNR	ENST00000368801.2	hornerin 	5	1	0	0	1	0	hsa-miR-103a-2-5p				-0.11	-0.11	N/A
EDA2R	ENST00000374719.3	ectodysplasin A2 receptor 	64	1	0	0	1	0	hsa-miR-103a-2-5p				-0.11	-0.11	N/A
PNO1	ENST00000263657.2	partner of NOB1 homolog (S. cerevisiae) 	554	1	0	0	1	0	hsa-miR-103a-2-5p				-0.11	-0.11	N/A
RNASEH2A	ENST00000221486.4	ribonuclease H2, subunit A 	1519	1	0	0	1	0	hsa-miR-103a-2-5p				-0.11	-0.14	N/A
L3MBTL2	ENST00000216237.5	l(3)mbt-like 2 (Drosophila) 	1085	1	1	0	0	0	hsa-miR-103a-2-5p				-0.11	-0.11	N/A
DCTN4	ENST00000447998.2	dynactin 4 (p62) 	153	1	0	0	1	1	hsa-miR-103a-2-5p				-0.11	-0.14	N/A
GSG2	ENST00000325418.4	germ cell associated 2 (haspin) 	393	1	0	0	1	0	hsa-miR-103a-2-5p				-0.11	-0.11	N/A
PDGFD	ENST00000393158.2	platelet derived growth factor D 	52	2	0	1	1	0	hsa-miR-103a-2-5p				-0.11	-0.12	N/A
MFAP3	ENST00000436816.1	microfibrillar-associated protein 3 	1139	1	1	0	0	0	hsa-miR-103a-2-5p				-0.11	-0.11	N/A
ONECUT1	ENST00000560699.2	one cut homeobox 1 	10	1	1	0	0	0	hsa-miR-103a-2-5p				-0.11	-0.24	N/A
TDRP	ENST00000324079.6	testis development related protein 	235	1	0	1	0	0	hsa-miR-103a-2-5p				-0.11	-0.17	N/A
EFNA4	ENST00000368409.3	ephrin-A4 	125	1	0	1	0	0	hsa-miR-103a-2-5p				-0.11	-0.11	N/A
CDC42	ENST00000344548.3	cell division cycle 42 	34	1	0	1	0	0	hsa-miR-103a-2-5p				-0.11	-0.11	N/A
MFSD2B	ENST00000338315.4	major facilitator superfamily domain containing 2B 	8	1	0	1	0	0	hsa-miR-103a-2-5p				-0.11	-0.11	N/A
RAB3IP	ENST00000483530.2	RAB3A interacting protein 	73	2	0	0	2	0	hsa-miR-103a-2-5p				-0.11	-0.24	N/A
LRRN2	ENST00000367175.1	leucine rich repeat neuronal 2 	12	1	0	0	1	0	hsa-miR-103a-2-5p				-0.11	-0.11	N/A
SLX4IP	ENST00000334534.5	SLX4 interacting protein 	0	3	2	0	1	0	hsa-miR-103a-2-5p				-0.11	-0.11	N/A
ZSCAN23	ENST00000289788.4	zinc finger and SCAN domain containing 23 	5	1	0	0	1	0	hsa-miR-103a-2-5p				-0.11	-0.11	N/A
BEND2	ENST00000380033.4	BEN domain containing 2 	5	1	0	0	1	0	hsa-miR-103a-2-5p				-0.11	-0.11	N/A
BICD1	ENST00000548411.1	bicaudal D homolog 1 (Drosophila) 	205	1	1	0	0	1	hsa-miR-103a-2-5p				-0.11	-0.13	N/A
WSB1	ENST00000262394.2	WD repeat and SOCS box containing 1 	175	3	3	0	0	0	hsa-miR-103a-2-5p				-0.11	-0.41	N/A
SYNCRIP	ENST00000355238.6	synaptotagmin binding, cytoplasmic RNA interacting protein 	4864	2	0	1	1	1	hsa-miR-103a-2-5p				-0.11	-0.27	N/A
NRIP3	ENST00000309166.3	nuclear receptor interacting protein 3 	58	1	0	1	0	2	hsa-miR-103a-2-5p				-0.11	-0.12	N/A
PRKDC	ENST00000314191.2	protein kinase, DNA-activated, catalytic polypeptide 	707	1	0	0	1	0	hsa-miR-103a-2-5p				-0.11	-0.11	N/A
LIF	ENST00000403987.3	leukemia inhibitory factor 	55	1	0	1	0	1	hsa-miR-103a-2-5p				-0.11	-0.11	N/A
FAM13C	ENST00000373867.3	family with sequence similarity 13, member C 	343	1	0	1	0	0	hsa-miR-103a-2-5p				-0.11	-0.11	N/A
LIMK1	ENST00000418310.1	LIM domain kinase 1 	464	1	0	0	1	0	hsa-miR-103a-2-5p				-0.11	-0.11	N/A
ARID5B	ENST00000279873.7	AT rich interactive domain 5B (MRF1-like) 	397	1	0	0	1	1	hsa-miR-103a-2-5p				-0.11	-0.11	N/A
RTP1	ENST00000312295.4	receptor (chemosensory) transporter protein 1 	5	1	0	0	1	0	hsa-miR-103a-2-5p				-0.11	-0.11	N/A
RP11-247C2.2	ENST00000563727.1	HCG2004779; Uncharacterized protein  	5	1	0	1	0	2	hsa-miR-103a-2-5p				-0.11	-0.11	N/A
KCNE4	ENST00000281830.3	potassium voltage-gated channel, Isk-related family, member 4 	5	2	0	2	0	0	hsa-miR-103a-2-5p				-0.11	-0.11	N/A
CTRL	ENST00000574481.1	chymotrypsin-like 	44	1	0	1	0	0	hsa-miR-103a-2-5p				-0.11	-0.14	N/A
TOR1AIP2	ENST00000367612.3	torsin A interacting protein 2 	569	1	1	0	0	0	hsa-miR-103a-2-5p				-0.11	-0.17	N/A
PIP4K2C	ENST00000354947.5	phosphatidylinositol-5-phosphate 4-kinase, type II, gamma 	457	1	0	1	0	1	hsa-miR-103a-2-5p				-0.11	-0.11	N/A
ZNF398	ENST00000420008.2	zinc finger protein 398 	305	2	0	1	1	0	hsa-miR-103a-2-5p				-0.11	-0.14	N/A
APOPT1	ENST00000556253.2	apoptogenic 1, mitochondrial 	242	1	0	1	0	0	hsa-miR-103a-2-5p				-0.11	-0.11	N/A
RELT	ENST00000064780.2	RELT tumor necrosis factor receptor 	412	2	1	0	1	0	hsa-miR-103a-2-5p				-0.11	-0.40	N/A
ELL	ENST00000262809.4	elongation factor RNA polymerase II 	250	1	0	0	1	0	hsa-miR-103a-2-5p				-0.11	-0.12	N/A
FPR1	ENST00000595042.1	formyl peptide receptor 1 	5	2	0	2	0	2	hsa-miR-103a-2-5p				-0.11	-0.32	N/A
CTC-360G5.8	ENST00000599996.1	Serine--tRNA ligase, mitochondrial  	700	1	0	0	1	0	hsa-miR-103a-2-5p				-0.11	-0.11	N/A
